CLASS,Mutation Score
ArrayStack,0
ArrayUtils,53
BagUtils,73
ClosureUtils,100
CollectionUtils,90
ComparatorUtils,80
EnumerationUtils,89
FactoryUtils,100
FluentIterable,100
IterableUtils,82
IteratorUtils,93
ListUtils,84
MapUtils,89
MultiMapUtils,68
MultiSetUtils,100
PredicateUtils,83
QueueUtils,100
SetUtils,73
SplitMapUtils,57
TransformerUtils,100
TrieUtils,100
AbstractBagDecorator,67
AbstractMapBag,55
AbstractSortedBagDecorator,25
CollectionBag,79
CollectionSortedBag,75
HashBag,50
PredicatedBag,18
PredicatedSortedBag,20
SynchronizedBag,10
SynchronizedSortedBag,20
TransformedBag,7
TransformedSortedBag,11
TreeBag,42
UnmodifiableBag,33
UnmodifiableSortedBag,33
AbstractBidiMapDecorator,0
AbstractDualBidiMap,11
AbstractOrderedBidiMapDecorator,0
AbstractSortedBidiMapDecorator,0
DualHashBidiMap,0
DualLinkedHashBidiMap,0
DualTreeBidiMap,0
TreeBidiMap,0
UnmodifiableBidiMap,0
UnmodifiableOrderedBidiMap,0
UnmodifiableSortedBidiMap,0
AbstractBloomFilter,86
ArrayCountingBloomFilter,93
BitSetBloomFilter,82
BloomFilterIndexer,100
HasherBloomFilter,74
IndexFilters,100
SetOperations,80
DynamicHasher,100
HashFunctionIdentity,50
HashFunctionIdentityImpl,100
HashFunctionValidator,83
Hasher,80
Shape,79
StaticHasher,100
MD5Cyclic,70
Murmur128x64Cyclic,78
Murmur32x86Iterative,67
ObjectsHashIterative,82
Signatures,100
AbstractCollectionDecorator,100
CompositeCollection,69
IndexedCollection,86
PredicatedCollection,83
SynchronizedCollection,96
TransformedCollection,89
UnmodifiableBoundedCollection,53
UnmodifiableCollection,100
BooleanComparator,76
ComparableComparator,71
ComparatorChain,54
FixedOrderComparator,59
NullComparator,43
ReverseComparator,73
TransformingComparator,57
AbstractQuantifierPredicate,0
AllPredicate,100
AndPredicate,80
AnyPredicate,93
CatchAndRethrowClosure,100
ChainedClosure,83
ChainedTransformer,82
CloneTransformer,100
ClosureTransformer,50
ComparatorPredicate,100
ConstantFactory,80
ConstantTransformer,33
DefaultEquator,63
EqualPredicate,90
ExceptionClosure,100
ExceptionFactory,100
ExceptionPredicate,100
ExceptionTransformer,100
FactoryTransformer,67
FalsePredicate,100
ForClosure,85
FunctorUtils,79
IdentityPredicate,83
IfClosure,63
IfTransformer,63
InstanceofPredicate,67
InstantiateFactory,88
InstantiateTransformer,88
InvokerTransformer,100
MapTransformer,80
NOPClosure,100
NOPTransformer,100
NonePredicate,100
NotNullPredicate,100
NotPredicate,75
NullIsExceptionPredicate,50
NullIsFalsePredicate,80
NullIsTruePredicate,80
NullPredicate,100
OnePredicate,91
OrPredicate,80
PredicateTransformer,75
PrototypeFactory,71
StringValueTransformer,100
SwitchClosure,70
SwitchTransformer,72
TransformedPredicate,50
TransformerClosure,75
TransformerPredicate,75
TruePredicate,100
UniquePredicate,100
WhileClosure,63
AbstractEmptyIterator,100
AbstractIteratorDecorator,100
AbstractListIteratorDecorator,90
AbstractMapIteratorDecorator,0
AbstractOrderedMapIteratorDecorator,0
AbstractUntypedIteratorDecorator,100
ArrayIterator,82
ArrayListIterator,100
BoundedIterator,100
CollatingIterator,82
EmptyIterator,100
EmptyListIterator,50
