GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Digester,org.apache.commons.digester3.binder,SetNextBuilder,0,37,0,2,0,8,0,3,0,2
Apache Commons Digester,org.apache.commons.digester3.binder,CallMethodBuilder,44,141,2,14,7,34,3,13,1,7
Apache Commons Digester,org.apache.commons.digester3.binder,BeanPropertySetterBuilder,4,31,1,1,1,10,1,4,0,4
Apache Commons Digester,org.apache.commons.digester3.binder,AbstractParamTypeBuilder,48,65,2,4,7,22,2,10,0,9
Apache Commons Digester,org.apache.commons.digester3.binder,ByRuleBuilder,0,13,0,0,0,4,0,2,0,2
Apache Commons Digester,org.apache.commons.digester3.binder,PluginDeclarationRuleBuilder,11,0,0,0,3,0,2,0,2,0
Apache Commons Digester,org.apache.commons.digester3.binder,SetPropertiesBuilder,24,42,3,1,5,11,4,4,2,4
Apache Commons Digester,org.apache.commons.digester3.binder,BinderClassLoader.new PrivilegedAction() {...},0,13,0,0,0,2,0,2,0,2
Apache Commons Digester,org.apache.commons.digester3.binder,PathCallParamBuilder,27,0,2,0,8,0,4,0,3,0
Apache Commons Digester,org.apache.commons.digester3.binder,LinkedRuleBuilder,121,320,13,19,12,41,16,21,3,18
Apache Commons Digester,org.apache.commons.digester3.binder,AddAliasBuilder,0,25,1,1,0,8,1,2,0,2
Apache Commons Digester,org.apache.commons.digester3.binder,NodeCreateRuleProvider.NodeType,9,147,0,0,0,17,2,3,2,3
Apache Commons Digester,org.apache.commons.digester3.binder,PluginCreateRuleBuilder,186,0,20,0,45,0,20,0,10,0
Apache Commons Digester,org.apache.commons.digester3.binder,SetRootBuilder,9,28,1,1,1,7,1,2,0,2
Apache Commons Digester,org.apache.commons.digester3.binder,ObjectCreateBuilder,66,97,5,11,17,28,5,11,0,8
Apache Commons Digester,org.apache.commons.digester3.binder,ErrorMessage,3,23,0,0,1,8,1,4,1,4
Apache Commons Digester,org.apache.commons.digester3.binder,AbstractBackToLinkedRuleBuilder,20,38,1,3,2,13,2,6,1,5
Apache Commons Digester,org.apache.commons.digester3.binder,FactoryCreateBuilder,52,60,11,5,10,19,9,6,1,6
Apache Commons Digester,org.apache.commons.digester3.binder,CallParamBuilder,12,57,1,3,4,17,2,6,1,5
Apache Commons Digester,org.apache.commons.digester3.binder,NestedPropertiesBuilder,29,49,3,1,7,13,5,4,3,4
Apache Commons Digester,org.apache.commons.digester3.binder,SetTopBuilder,6,31,1,1,1,7,1,2,0,2
