Sr.No,CLASS,Mutation Score
1,AbstractMethodRule,60
2,AbstractObjectCreationFactory,0
3,AbstractRulesImpl,71
4,BeanPropertySetterRule,56
5,CallMethodRule,55
6,CallParamRule,89
7,Digester,58
8,ExtendedBaseRules,82
9,FactoryCreateRule,42
10,NodeCreateRule,84
11,ObjectCreateRule,77
12,ObjectParamRule,67
13,PathCallParamRule,50
14,PatternRuleMatcher,0
15,RecordedInvocation,12
16,RegexRules,86
17,Rule,100
18,RuleSetBase,100
19,RulesBase,77
20,SetNestedPropertiesRule,56
21,SetNextRule,100
22,SetPropertiesRule,76
23,SetPropertyRule,73
24,SetRootRule,100
25,SetTopRule,100
26,SimpleRegexMatcher,90
27,WithDefaultsRulesWrapper,40
28,DefaultAnnotationHandlerFactory,100
29,FromAnnotationsRuleModule,88
30,WithMemoryRulesBinder,57
31,AbstractMethodHandler,73
32,CallMethodHandler,100
33,CallParamHandler,100
34,FactoryCreateHandler,33
35,ObjectCreateHandler,60
36,SetPropertiesHandler,75
37,SetTopHandler,25
38,MethodArgument,47
39,FactoryCreate,0
40,AnnotationUtils,47
41,AbstractBackToLinkedRuleBuilder,50
42,AbstractNamespaceURIBasedRulesModule,0
43,AbstractParamTypeBuilder,50
44,AbstractRulesModule,57
45,AddAliasBuilder,100
46,BeanPropertySetterBuilder,67
47,BinderClassLoader,78
48,ByRuleBuilder,100
49,ByRuleProviderBuilder,100
50,CallMethodBuilder,71
51,CallParamBuilder,70
52,DefaultRulesBinder,52
53,DigesterLoader,67
54,ErrorMessage,33
55,FactoryCreateBuilder,38
56,FromBinderRuleSet,29
57,LinkedRuleBuilder,68
58,NestedPropertiesBuilder,33
59,NodeCreateRuleProvider,63
60,ObjectCreateBuilder,48
61,ObjectParamBuilder,50
62,PathCallParamBuilder,0
63,PluginCreateRuleBuilder,0
64,PluginDeclarationRuleBuilder,0
65,SetNextBuilder,50
66,SetPropertiesBuilder,50
67,SetPropertyBuilder,60
68,SetRootBuilder,50
69,SetTopBuilder,25
70,Declaration,71
71,LogUtils,100
72,PluginContext,100
73,PluginCreateRule,62
74,PluginDeclarationRule,83
75,PluginException,0
76,PluginManager,75
77,PluginRules,60
78,FinderFromClass,100
79,FinderFromDfltClass,50
80,FinderFromDfltMethod,100
81,FinderFromDfltResource,100
82,FinderFromFile,75
83,FinderFromMethod,100
84,FinderFromResource,83
85,FinderSetProperties,50
86,LoaderFromClass,67
87,LoaderFromStream,63
88,LoaderSetProperties,50
89,CompoundSubstitutor,100
90,MultiVariableExpander,75
91,VariableAttributes,50
92,VariableSubstitutor,100
93,AbstractXmlMethodRule,100
94,AbstractXmlRule,100
95,BeanPropertySetterRule,50
96,CallMethodRule,88
97,CallParamRule,100
98,FromXmlRulesModule,62
99,IncludeRule,70
100,NameSpaceURIRulesBinder,60
101,NodeCreateRule,0
102,ObjectCreateRule,60
103,ObjectParamRule,50
104,PatternRule,100
105,PatternStack,100
106,PrefixedRulesBinder,38
107,SetNamespaceURIRule,50
108,SetNestedPropertiesRule,0
109,SetNextRule,33
110,SetPropertiesRule,100
111,SetRootRule,0
112,SetTopRule,0
113,WithMemoryRulesBinder,43
114,XmlRulesModule,100
