GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils,0,467,6,82,0,94,6,52,0,14
Apache Commons Lang,org.apache.commons.lang3,EnumUtils,0,402,0,32,0,72,0,33,0,17
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,0,69,0,4,0,11,0,5,0,3
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,77,1,1,2,21,1,3,0,3
Apache Commons Lang,org.apache.commons.lang3,Conversion,194,2626,80,372,32,429,71,229,1,43
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},7,67,3,3,3,18,3,3,0,3
Apache Commons Lang,org.apache.commons.lang3,ArchUtils,20,200,1,1,3,34,3,12,2,12
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,0,36,2,6,0,6,2,5,0,3
Apache Commons Lang,org.apache.commons.lang3,CharUtils,0,339,0,50,0,51,0,50,0,25
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils,43,486,8,84,18,94,9,48,1,10
Apache Commons Lang,org.apache.commons.lang3,CharRange.CharacterIterator,0,130,0,18,0,30,0,14,0,5
Apache Commons Lang,org.apache.commons.lang3,NotImplementedException,6,42,0,0,3,16,1,7,1,7
Apache Commons Lang,org.apache.commons.lang3,BooleanUtils,0,806,9,249,0,190,9,163,0,41
Apache Commons Lang,org.apache.commons.lang3,Functions,28,246,5,15,11,52,6,43,2,37
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils,37,772,3,113,7,177,3,96,0,41
Apache Commons Lang,org.apache.commons.lang3,ClassLoaderUtils,6,18,1,1,2,3,2,2,1,2
