Sr.No,CLASS,Mutation Score
1,AnnotationUtils,85
2,ArchUtils,91
3,ArrayUtils,87
4,BitField,97
5,BooleanUtils,100
6,CharEncoding,100
7,CharRange,90
8,CharSequenceUtils,85
9,CharSet,93
10,CharSetUtils,100
11,CharUtils,100
12,Charsets,100
13,ClassLoaderUtils,75
14,ClassPathUtils,100
15,ClassUtils,94
16,Conversion,84
17,EnumUtils,100
18,Functions,89
19,JavaVersion,78
20,LocaleUtils,100
21,NotImplementedException,100
22,ObjectUtils,86
23,RandomStringUtils,95
24,RandomUtils,87
25,Range,90
26,RegExUtils,100
27,SerializationUtils,92
28,Streams,43
29,StringEscapeUtils,100
30,StringUtils,93
31,SystemUtils,94
32,ThreadUtils,88
33,Validate,55
34,Processor,100
35,CompareToBuilder,87
36,Diff,100
37,DiffBuilder,81
38,DiffResult,100
39,EqualsBuilder,88
40,HashCodeBuilder,96
41,IDKey,57
42,MultilineRecursiveToStringStyle,79
43,RecursiveToStringStyle,100
44,ReflectionDiffBuilder,82
45,ReflectionToStringBuilder,84
46,StandardToStringStyle,10
47,ToStringBuilder,100
48,ToStringStyle,84
49,ComparableUtils,64
50,ObjectToStringComparator,60
51,AbstractCircuitBreaker,100
52,AtomicInitializer,67
53,AtomicSafeInitializer,75
54,BackgroundInitializer,95
55,BasicThreadFactory,100
56,CallableBackgroundInitializer,100
57,ConcurrentUtils,100
58,ConstantInitializer,90
59,EventCountCircuitBreaker,88
60,LazyInitializer,33
61,Memoizer,89
62,MultiBackgroundInitializer,100
63,ThresholdCircuitBreaker,90
64,TimedSemaphore,98
65,EventListenerSupport,93
66,EventUtils,100
67,ContextedException,90
68,ContextedRuntimeException,90
69,DefaultExceptionContext,79
70,ExceptionUtils,84
71,Fraction,84
72,IEEE754rUtils,91
73,NumberUtils,77
74,MutableBoolean,100
75,MutableByte,100
76,MutableDouble,100
77,MutableFloat,100
78,MutableInt,100
79,MutableLong,97
80,MutableObject,92
81,MutableShort,100
82,ConstructorUtils,96
83,FieldUtils,95
84,InheritanceUtils,92
85,MemberUtils,81
86,MethodUtils,87
87,TypeLiteral,44
88,TypeUtils,68
89,CompositeFormat,100
90,ExtendedMessageFormat,70
91,FormattableUtils,82
92,StrBuilder,75
93,StrLookup,100
94,StrMatcher,96
95,StrSubstitutor,86
96,StrTokenizer,95
97,WordUtils,92
98,AggregateTranslator,100
99,CharSequenceTranslator,85
100,CodePointTranslator,100
101,EntityArrays,15
102,JavaUnicodeEscaper,20
103,LookupTranslator,83
104,NumericEntityEscaper,100
105,NumericEntityUnescaper,96
106,OctalUnescaper,94
107,UnicodeEscaper,91
108,UnicodeUnescaper,86
109,UnicodeUnpairedSurrogateRemover,100
110,CalendarUtils,100
111,DateFormatUtils,94
112,DateUtils,92
113,DurationFormatUtils,89
114,FastDateFormat,90
115,FastDateParser,91
116,FastDatePrinter,79
117,FastTimeZone,100
118,FormatCache,77
119,GmtTimeZone,88
120,StopWatch,89
121,ImmutablePair,100
122,ImmutableTriple,100
123,MutablePair,88
124,MutableTriple,100
125,Pair,86
126,Triple,64
